"","species.m","animal","class.m","long.m","mass.m","BMR","noct.m","volant.m","fossorial.m","forage.m","BMR.q"
"37","Gerbilliscus_afra","Gerbilliscus_afra","Mammalia",-1.11750648709982,-0.560114277577642,0.877568154981925,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"38","Gerbillus_gerbillus","Gerbillus_gerbillus","Mammalia",-1.06736166955757,-0.895763796936726,0.676315201869665,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"39","Gerbillus_perpallidus","Gerbillus_perpallidus","Mammalia",-1.1694425652357,-0.708094655897727,0.193151495797123,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"40","Gerbillus_pyramidum","Gerbillus_pyramidum","Mammalia",-0.588713023979206,-0.818715837561694,0.282180573099766,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"41","Glossophaga_soricina","Glossophaga_soricina","Mammalia",-0.161568023640461,-1.29937633114993,1.1689688224939,"nocturnal","volant","nonfossorial","volant","good"
"42","Graphiurus_murinus","Graphiurus_murinus","Mammalia",-0.839701549602947,-0.977743158689953,0.342460748131727,"nocturnal","nonvolant","nonfossorial","semiarboreal","good"
"43","Gulo_gulo","Gulo_gulo","Mammalia",0.670906716432409,1.41866840549299,-0.567459950860553,"cathemeral","nonvolant","nonfossorial","terrestrial","good"
"44","Acinonyx_jubatus","Acinonyx_jubatus","Mammalia",0.743624648677266,1.85456054237952,-1.29682754124305,"diurnal","nonvolant","nonfossorial","terrestrial","good"
"45","Acomys_cahirinus","Acomys_cahirinus","Mammalia",-1.06736166955757,-0.745173219636782,0.392704885177748,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"46","Ailurus_fulgens","Ailurus_fulgens","Mammalia",0.633136914887156,0.930490865522887,-1.77784040473234,"cathemeral","nonvolant","nonfossorial","terrestrial","good"
"47","Alouatta_palliata","Alouatta_palliata","Mammalia",0.972825898191096,1.1073855111618,-0.616107691090168,"diurnal","nonvolant","nonfossorial","arboreal","good"
"48","Ammospermophilus_leucurus","Ammospermophilus_leucurus","Mammalia",-0.135368114756647,-0.435518775377873,0.32156511483158,"diurnal","nonvolant","semifossorial","terrestrial","good"
"49","Antechinomys_laniger","Antechinomys_laniger","Mammalia",-1.8266540668859,-0.977743158689953,0.273053170655978,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"50","Antechinus_flavipes","Antechinus_flavipes","Mammalia",-1.66930549781931,-0.746802419473009,0.25826996983635,"nocturnal","nonvolant","nonfossorial","arboreal","good"
"51","Antechinus_stuartii","Antechinus_stuartii","Mammalia",-1.19612323312638,-0.927730381267165,0.282180573099766,"nocturnal","nonvolant","nonfossorial","arboreal","good"
"52","Antechinus_swainsonii","Antechinus_swainsonii","Mammalia",-1.91221142562743,-0.781002347830086,0.233440233613513,"diurnal","nonvolant","nonfossorial","terrestrial","good"
"53","Antilocapra_americana","Antilocapra_americana","Mammalia",0.337092713254156,1.79986856827217,-1.11346806599568,"cathemeral","nonvolant","nonfossorial","terrestrial","good"
"54","Antrozous_pallidus","Antrozous_pallidus","Mammalia",0.269896669733984,-1.03031611344898,0.104611702243793,"nocturnal","volant","nonfossorial","volant","good"
"55","Aotus_trivirgatus","Aotus_trivirgatus","Mammalia",1.30212782108218,0.310509971100234,-0.591266920151829,"nocturnal","nonvolant","nonfossorial","arboreal","good"
"56","Apodemus_flavicollis","Apodemus_flavicollis","Mammalia",-1.46122891432989,-0.903185947573943,0.940854268715196,"nocturnal","nonvolant","semifossorial","terrestrial","good"
